id,aisle_id,section_num,is_inventory,svg_x,svg_y,svg_width,svg_height,sort_order,created_at,updated_at
581,15,6,t,1640.3608,2871.757,81.96961,21.177744,0,2026-06-01 20:30:35.533627,2026-06-01 20:54:36.917
582,15,5,t,1640.2146,2969.7417,82.1,20.999865,0,2026-06-01 20:30:35.534215,2026-06-01 20:55:25.054
583,15,12,t,1895.0609,2871.757,82.16961,21.167027,0,2026-06-01 20:30:35.535282,2026-06-01 20:54:50.945
584,15,30,t,2777.1655,2871.584,105.59366,21.300058,0,2026-06-01 20:30:35.559343,2026-06-02 20:11:55.203
585,16,36,t,2777.1128,3001.4692,105.58553,20.963007,0,2026-06-01 20:30:35.56967,2026-06-01 20:49:16.946
586,16,40,t,2559.3127,3001.4326,105.748535,21.136751,0,2026-06-01 20:30:35.571899,2026-06-01 20:49:53.584
587,15,24,t,2449.8848,2871.7917,106.44272,21.08027,0,2026-06-01 20:30:35.573232,2026-06-02 20:11:38.87
588,16,42,t,2450.3245,3001.2324,106.01863,21.300058,0,2026-06-01 20:30:35.595145,2026-06-01 20:50:02.361
589,16,38,t,2668.0613,3001.2324,106.01863,21.300058,0,2026-06-01 20:30:35.608932,2026-06-01 20:49:35.246
590,15,28,t,2668.1655,2871.872,105.86204,21.112087,0,2026-06-01 20:30:35.615605,2026-06-02 20:11:49.024
591,15,26,t,2559.233,2872.0044,105.55636,21.092161,0,2026-06-01 20:30:35.616834,2026-06-02 20:11:44.506
592,15,32,t,2885.7588,2871.8843,104.46892,21.300058,0,2026-06-01 20:30:35.629372,2026-06-02 20:12:01.027
593,15,45,t,3565.318,2970.9084,88.05083,21.253748,0,2026-06-01 20:30:35.641847,2026-06-02 20:13:00.331
594,15,43,t,3475.032,2970.8242,87.49849,21.35538,0,2026-06-01 20:30:35.648556,2026-06-02 20:12:56.394
595,15,39,t,3293.496,2970.8667,87.70009,21.011726,0,2026-06-01 20:30:35.650306,2026-06-02 20:12:47.068
596,15,22,t,2340.7664,2871.7837,106.361115,21.300058,0,2026-06-01 20:30:35.658967,2026-06-02 20:11:35.877
597,15,10,t,1810.179,2871.957,81.98178,20.967043,0,2026-06-01 20:30:35.659938,2026-06-01 20:54:46.091
598,15,41,t,3384.1184,2971.0085,87.749435,21.253649,0,2026-06-01 20:30:35.661998,2026-06-02 20:12:52.564
599,16,26,t,3293.404,2999.9863,87.937965,21.299883,0,2026-06-02 20:14:50.612697,2026-06-02 20:25:13.389
600,16,28,t,3202.5784,3000.8738,87.91223,21.148687,0,2026-06-02 20:14:50.613051,2026-06-02 20:18:38.898
601,16,22,t,3474.9744,3000.9485,87.66481,21.204905,0,2026-06-02 20:14:50.612433,2026-06-02 20:18:21.594
602,16,23,t,3384.1284,3100.3032,87.749435,21.253649,0,2026-06-02 20:14:50.520697,2026-06-02 20:18:06.905
603,16,21,t,3474.942,3100.3208,87.49849,21.273764,0,2026-06-02 20:14:50.618352,2026-06-02 20:18:03.418
604,16,19,t,3565.4272,3100.3032,87.951614,21.253748,0,2026-06-02 20:14:50.623342,2026-06-02 20:17:05.07
605,16,25,t,3293.5059,3100.3196,87.70009,21.074963,0,2026-06-02 20:14:50.759892,2026-06-02 20:18:11.315
606,16,24,t,3384.3042,3000.8687,87.47416,20.943596,0,2026-06-02 20:14:50.760601,2026-06-02 20:18:25.794
607,16,27,t,3202.6804,3100.2195,87.79897,21.375063,0,2026-06-02 20:14:50.761701,2026-06-02 20:18:15.891
608,16,20,t,3565.604,3000.7727,87.93898,21.376114,0,2026-06-02 20:14:50.768314,2026-06-02 20:16:44.776
609,16,33,t,2886.0618,3100.525,104.46001,21.300058,0,2026-06-02 20:19:09.204219,2026-06-02 20:22:35.289
610,16,37,t,2668.4304,3100.5251,106.01863,21.300058,0,2026-06-02 20:19:09.204363,2026-06-02 20:21:29.726
611,16,45,t,2233.9187,3100.663,104.35228,21.300058,0,2026-06-02 20:19:09.206084,2026-06-02 20:22:01.34
612,16,41,t,2450.538,3100.5251,106.17418,21.300058,0,2026-06-02 20:19:09.2073,2026-06-02 20:21:43.727
613,16,35,t,2777.4817,3100.4248,105.58553,21.43831,0,2026-06-02 20:19:09.20742,2026-06-02 20:22:21.525
614,16,39,t,2559.682,3100.562,105.748535,21.136751,0,2026-06-02 20:19:09.208943,2026-06-02 20:21:39.296
615,16,43,t,2341.138,3100.6252,106.355484,20.94449,0,2026-06-02 20:19:09.245072,2026-06-02 20:21:54.789
616,16,54,t,1895.2487,3100.2832,81.9137,21.300058,0,2026-06-02 20:23:07.196494,2026-06-02 20:23:24.554
617,16,64,t,1470.2487,3100.1082,82.2,21.100065,0,2026-06-02 20:23:07.196626,2026-06-02 20:24:42.316
618,16,62,t,1555.5623,3099.9832,81.634705,21.33819,0,2026-06-02 20:23:07.198303,2026-06-02 20:24:34.374
619,16,52,t,1979.997,3100.1836,82.36549,21.322643,0,2026-06-02 20:23:07.201408,2026-06-02 20:23:40.263
620,16,60,t,1640.197,3100.1082,82,21.21319,0,2026-06-02 20:23:07.205383,2026-06-02 20:24:25.607
621,16,58,t,1725.297,3100.008,81.90001,21.199965,0,2026-06-02 20:23:07.232499,2026-06-02 20:24:06.869
622,16,50,t,2065.2488,3100.1833,81.24821,21.300058,0,2026-06-02 20:23:07.241082,2026-06-02 20:23:49.778
623,16,56,t,1810.097,3100.2832,82.151794,21.300058,0,2026-06-02 20:23:07.291042,2026-06-02 20:23:33.897
624,17,12,t,1895.1082,3130.36,81.9137,21.300058,0,2026-06-02 20:25:32.609201,2026-06-02 20:40:20.068
625,17,10,t,1809.9565,3130.36,82.151794,21.300058,0,2026-06-02 20:25:32.610045,2026-06-02 20:40:27.49
626,17,8,t,1725.1565,3130.5469,81.90001,21.199965,0,2026-06-02 20:25:32.610259,2026-06-02 20:40:34.906
627,17,2,t,1470.2487,3130.4065,82.2,21.100065,0,2026-06-02 20:25:32.610384,2026-06-02 20:40:49.942
628,17,16,t,2064.7605,3130.2603,81.24821,21.300058,0,2026-06-02 20:25:32.611214,2026-06-02 20:40:06.685
629,17,14,t,1979.8566,3130.283,82.36549,21.322643,0,2026-06-02 20:25:32.613653,2026-06-02 20:40:14.307
630,17,6,t,1640.0565,3130.5195,82,21.21319,0,2026-06-02 20:25:32.651932,2026-06-02 20:40:41.16
631,17,4,t,1555.4218,3130.2793,81.80665,21.157053,0,2026-06-02 20:25:32.652544,2026-06-02 20:40:45.51
632,17,24,t,2450.3354,3130.5425,106.29997,21.300058,0,2026-06-02 20:27:00.703555,2026-06-02 20:39:41.414
